"MONATSZAHL","AUSPRÄGUNG","JAHR","MONAT","WERT","VORJAHRESWERT","VERÄND_VORMONAT_PROZENT","VERÄND_VORJAHRESMONAT_PROZENT","ZWÖLF_MONATE_MITTELWERT"
"Arbeitslose","Deutsche",2022,"202201",20633,25065,7.85,-17.68,22141
"Arbeitslose","Deutsche",2022,"202202",19780,24725,-4.13,-20,21729
"Arbeitslose","Deutsche",2022,"202203",19219,24373,-2.84,-21.15,21299
"Arbeitslose","Deutsche",2022,"202204",18810,24004,-2.13,-21.64,20866
"Arbeitslose","Deutsche",2022,"202205",18241,23270,-3.02,-21.61,20447
"Arbeitslose","Deutsche",2022,"202206",17965,22783,-1.51,-21.15,20046
"Arbeitslose","Deutsche",2022,"202207",18360,22680,2.2,-19.05,19686
"Arbeitslose","Deutsche",2022,"202208",19365,22731,5.47,-14.81,19405
"Arbeitslose","Deutsche",2022,"202209",,21557,,,
"Arbeitslose","Deutsche",2022,"202210",,20436,,,
"Arbeitslose","Deutsche",2022,"202211",,19364,,,
"Arbeitslose","Deutsche",2022,"202212",,19131,,,
"Arbeitslose","Deutsche",2021,"202101",25065,18301,9.06,36.96,23350
"Arbeitslose","Deutsche",2021,"202102",24725,17787,-1.36,39.01,23928
"Arbeitslose","Deutsche",2021,"202103",24373,17639,-1.42,38.18,24490
"Arbeitslose","Deutsche",2021,"202104",24004,22095,-1.51,8.64,24649
"Arbeitslose","Deutsche",2021,"202105",23270,24397,-3.06,-4.62,24555
"Arbeitslose","Deutsche",2021,"202106",22783,25052,-2.09,-9.06,24366
"Arbeitslose","Deutsche",2021,"202107",22680,25449,-0.45,-10.88,24135
"Arbeitslose","Deutsche",2021,"202108",22731,26171,0.22,-13.14,23848
"Arbeitslose","Deutsche",2021,"202109",21557,25545,-5.16,-15.61,23516
"Arbeitslose","Deutsche",2021,"202110",20436,24645,-5.2,-17.08,23165
"Arbeitslose","Deutsche",2021,"202111",19364,23375,-5.25,-17.16,22831
"Arbeitslose","Deutsche",2021,"202112",19131,22983,-1.2,-16.76,22510
"Arbeitslose","Deutsche",2020,"202001",18301,18378,10.53,-0.42,17064
"Arbeitslose","Deutsche",2020,"202002",17787,17672,-2.81,0.65,17074
"Arbeitslose","Deutsche",2020,"202003",17639,17192,-0.83,2.6,17111
"Arbeitslose","Deutsche",2020,"202004",22095,16832,25.26,31.27,17549
