"MONATSZAHL","AUSPRÄGUNG","JAHR","MONAT","WERT","VORJAHRESWERT","VERÄND_VORMONAT_PROZENT","VERÄND_VORJAHRESMONAT_PROZENT","ZWÖLF_MONATE_MITTELWERT"
"Gäste","Ausland",2022,"Summe",636024,865312,,-26.5,
"Gäste","Ausland",2022,"202201",54752,11433,-22.56,378.89,75719
"Gäste","Ausland",2022,"202202",77480,12635,41.51,513.22,81123
"Gäste","Ausland",2022,"202203",114336,14957,47.57,664.43,89405
"Gäste","Ausland",2022,"202204",171106,13915,49.65,1129.65,102504
"Gäste","Ausland",2022,"202205",218350,20635,27.61,958.15,118980
"Gäste","Ausland",2022,"202206",,49497,,,
"Gäste","Ausland",2022,"202207",,121314,,,
"Gäste","Ausland",2022,"202208",,140204,,,
"Gäste","Ausland",2022,"202209",,132667,,,
"Gäste","Ausland",2022,"202210",,166891,,,
"Gäste","Ausland",2022,"202211",,110460,,,
"Gäste","Ausland",2022,"202212",,70704,,,
"Gäste","Ausland",2021,"Summe",865312,903373,,-4.21,
"Gäste","Ausland",2021,"202101",11433,243174,5.03,-95.3,55969
"Gäste","Ausland",2021,"202102",12635,223106,10.51,-94.34,38430
"Gäste","Ausland",2021,"202103",14957,73870,18.38,-79.75,33521
"Gäste","Ausland",2021,"202104",13915,4785,-6.97,190.8,34282
"Gäste","Ausland",2021,"202105",20635,7491,48.29,175.46,35377
"Gäste","Ausland",2021,"202106",49497,31148,139.87,58.91,36906
"Gäste","Ausland",2021,"202107",121314,81713,145.09,48.46,40206
"Gäste","Ausland",2021,"202108",140204,89840,15.57,56.06,44403
"Gäste","Ausland",2021,"202109",132667,71487,-5.38,85.58,49501
"Gäste","Ausland",2021,"202110",166891,51273,25.8,225.49,59136
"Gäste","Ausland",2021,"202111",110460,14601,-33.81,656.52,67124
"Gäste","Ausland",2021,"202112",70704,10885,-35.99,549.55,72109
"Gäste","Ausland",2020,"Summe",903373,3930398,,-77.02,
"Gäste","Ausland",2020,"202001",243174,237104,-28.22,2.56,328039
"Gäste","Ausland",2020,"202002",223106,240175,-8.25,-7.11,326617
"Gäste","Ausland",2020,"202003",73870,263418,-66.89,-71.96,310821
"Gäste","Ausland",2020,"202004",4785,317205,-93.52,-98.49,284786
"Gäste","Ausland",2020,"202005",7491,339976,56.55,-97.8,257079
"Gäste","Ausland",2020,"202006",31148,341366,315.81,-90.88,231227
"Gäste","Ausland",2020,"202007",81713,424524,162.34,-80.75,202660
"Gäste","Ausland",2020,"202008",89840,394033,9.95,-77.2,177310
"Gäste","Ausland",2020,"202009",71487,395742,-20.43,-81.94,150289
"Gäste","Ausland",2020,"202010",51273,360918,-28.28,-85.79,124485
"Gäste","Ausland",2020,"202011",14601,277155,-71.52,-94.73,102606
"Gäste","Ausland",2020,"202012",10885,338782,-25.45,-96.79,75281
"Gäste","Ausland",2019,"Summe",3930398,3750956,,4.78,
"Gäste","Ausland",2019,"201901",237104,234150,-25.49,1.26,312826
"Gäste","Ausland",2019,"201902",240175,216399,1.3,10.99,314807
"Gäste","Ausland",2019,"201903",263418,263523,9.68,-0.04,314798
"Gäste","Ausland",2019,"201904",317205,289300,20.42,9.65,317124
"Gäste","Ausland",2019,"201905",339976,300258,7.18,13.23,320434
"Gäste","Ausland",2019,"201906",341366,332647,0.41,2.62,321160
"Gäste","Ausland",2019,"201907",424524,401163,24.36,5.82,323107
"Gäste","Ausland",2019,"201908",394033,385677,-7.18,2.17,323803
"Gäste","Ausland",2019,"201909",395742,388056,0.43,1.98,324444
"Gäste","Ausland",2019,"201910",360918,346195,-8.8,4.25,325671
"Gäste","Ausland",2019,"201911",277155,275375,-23.21,0.65,325819
"Gäste","Ausland",2019,"201912",338782,318213,22.24,6.46,327533
